barcode,name,brand,ingredients,allergens,energy_100g,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,serving_size,category,is_sustainable
17,Collagen For Her,Bodylab,"whey protein concentrate, milk protein concentrate, flavoring, thickener (xanthan gum), sweetener (sucralose)","milk, sucralose, xanthan-gum",1611.0,385.0,5.0,2.5,5.5,5.5,75.0,11g,Health & Supplements,0
45,Vegetable gyoza,Morrisons,"acrylate adhesive, polyester, silicone adhesive",,611.0,146.0,3.1,0.5,25.2,,3.3,75g,Food,0
202,VEGAN BRAIN + BODY BOOST,"Rum dunkel, Vegan Brain Food","Creatine Monohydrate 5000mg, Taurine 1500mg, Beta alanine 1000mg",,1448.0,346.0,7.5,2.4,21.0,15.0,39.0,100g,Health & Supplements,1
229,Vanilla Grass-fed Whey Protein Isolate,Opportuniteas,"Whey Protein Isolate, Organic Cane Sugar, Organic Vanilla Flavor, Sunflower Lecithin","lecithin, milk, sunflower-lecithin, vanilla",1670.0,400.0,0.0,0.0,23.3,23.3,73.3,30g,Health & Supplements,1
232,Usda Organic Matcha Latte,Jade Leaf,"Organic Unrefined Cane Sugar, Organic Japanese Matcha Green Tea",caffeine,1670.0,400.0,0.0,0.0,90.0,90.0,9.0,10g,Beverages,1
253,Matcha Latte,Jade Leaf,"Erythritol, Organic Japanese Matcha Green Tea, Monk Fruit Extract",caffeine,1860.0,444.0,15.6,3.33,64.4,0.0,6.67,45g,Beverages,1
341,Hydration Mix,Biosteel,"Vitamin B Blend, Biotin, Choline Bitartrate, Vitamin B12, Folic Acid, Inositol, Niacin, Pantothenic Acid, Riboflavin, Thiamine Hydrochloride, Amino Acid Blend, L-Leucine, L-Valine, L-Isoleucine, Glycine, L-Glutamine, Taurine, Mineral Blend, Calcium, Magnesium, Potassium, Zinc, Natural Flavour, Citric Acid, Sodium Chloride, Sucralose, Silicon Dioxide, Beet Root Powder, Stevia Leaf Extract, Spirulina Extract, Elderberry Extract, Fruit and Vegetable Juice, Malic Acid, Calcium Silicate, Calcium Lactate, Calcium Phosphate, Calcium Carbonate, Magnesium Oxide, Magnesium Phosphate, Magnesium Carbonate, Magnesium Hydroxide, Magnesium Sulfate, Magnesium Chloride, Potassium Citrate, Potassium Bicarbonate, Potassium Chloride, Potassium Phosphate, Potassium Sulfate, Zinc Citrate, Zinc Gluconate, Zinc Oxide, Zinc Sulfate, Zinc Hydroxide, Zinc Carbonate, Zinc Chloride, Zinc Acetate, Zinc Picolinate, Zinc L-Carnosine, Zinc Aspartate, Zinc Orotate, Zinc Glycinate, Zinc Methionine, Zinc Histidine, Zinc Carnosine, Zinc Monomethionine, Zinc Bisglycinate, Zinc Hydrolyzed Vegetable Protein Chelate","citric-acid, stevia, sucralose",300.0,71.4,0.0,,14.3,0.0,0.0,7g,Health & Supplements,1
397,Whole Trilogy Seeds,Badia,"Flaxseed, Chia Seeds, Hemp Seeds","chia-seeds, flaxseed, hemp-seeds",2090.0,500.0,38.9,2.78,27.8,7.41,22.2,18g,Other,0
403,Mint Chocolate Chip Beachbar,"Beachbody, Grappa, Tequila","DIRECTION DIRECTIONS FOR USE: To ensure accurate dosing, use the supplied measure tool to measure 400-900 mg shilajit resin. Dissolve in warm water and drink on an empty stomach 30 minutes before a meal. It can also be swallowed or dissolved under the tongue. STORAGE: Store in a coold and dry place. WARNINGS: KEEP OUT OF REACH OF CHILDREN. Dietary supplements should not be used as a substitute for a healthy and varied diet and a healthy lifestyle. Do not exceed the stated recommended daily intake. Statements regarding this dietary supplement have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition. LLT",,628.0,150.0,4.5,2.0,15.0,6.0,10.0,1g,Snacks,0
437,Hydration Multiplier Electrolyte Drink Mix,Liquid I.V.,"allulose, l-glutamine, l-alanine, citric acid, potassium citrate, salt, sodium citrate, natural flavors, silicon dioxide, stevia leaf extract, vitamin c, vitamin b3, vitamin b5, vitamin b6, vitamin b12","ascorbic-acid-vitamin-c, citric-acid, stevia",0.0,0.0,0.0,0.0,0.22,0.0,0.0,16oz,Health & Supplements,1
456,Organic Vegan Protein Shake Mix,Earth Chimp,"Organic Plant Protein Blend (Organic Pea, Organic Pumpkin, Organic Coconut), Organic Fruit Blend (Organic Date, Organic Banana, Organic Baobab), Organic Agave Fiber, Organic Pea Starch, Flax Seed Fiber, Organic Cocoa (Alkalised), Natural Flavors, Probiotics (Bacillus Coagulans), Organic Monkfruit Extract, Milled Flax Seeds, Organic Cinnamon, Organic Turmeric","banana, cinnamon, cocoa, coconut, dates, flaxseed, pea-protein, turmeric",1430.0,343.0,5.71,0.0,20.0,8.57,57.1,35g,Health & Supplements,1
483,Vegan Liquid Iron Supplement,Why Not Natural,"Purified Water, Glycerin, Citric Acid, Organic Blackberry Flavor, Xanthan Gum, Organic Stevia Leaf","blackberry, citric-acid, stevia, xanthan-gum",1110.0,267.0,,,,,60.0,15ml,Health & Supplements,1
635,Batard meergranen brood,Lidl,"42,5% tarwebloem, water, tarwegluten, 3,6% zonnebloempitten, 2,8% lijnzaad, 2,8% gerstemout, 2,4% havervlokken, 0,9% rijstgries, bakkerszout, 0,6% sesamzaad, 0,6% tarwezuurdesem, 0,6% roggezuurdesem, sojabloem, 0,2% volkoren roggemeel, gist.",,1242.0,295.0,6.7,0.7,41.9,0.8,14.1,35g,Beverages,0
131269815,Dark Chocolate Turbinado Sea Salt Almonds,Nuts.com,"Dark Chocolate (Sugar, Chocolate Liquor, Cocoa Butter, Chocolate Liquor Processed With Alkali, Butterfat, Soy Lecithin (An Emulsifier), Natural Vanilla Flavor, Salt), Almonds, Sugar, Sea Salt, Water, Gum Arabic, Modified Starch (Tapioca).","chocolate, cocoa, lecithin, milk, soybeans, vanilla",628.0,150.0,11.0,5.0,16.0,12.0,3.0,31g,Snacks,0
1422,Le Jambon de nos Régions,Fleury Michon,"Pea base (pea protein isolate 41%, lentil flour, potato starch, corn flour), sunflower oil, seasoning [onion powder, whey powder (milk), salt, sour cream powder (milk), cheese powder (cheese (milk), milk solids, emulsifier (disodium phosphate)), dextrose, yeast extract, natural flavouring, parsley herb flakes, acidity regulator (citric acid)], antioxidant (rosemary extract). May contain soybeans.","cereals-containing-gluten, citric-acid, corn-maize, lentils, milk, onion, pea-protein, potato, rosemary, soybeans, sunflower-lecithin, yeast",481.0,115.0,2.8,1.0,0.5,0.5,22.0,35g,Food,1
1425,Earth Champ Nutritional Vegan Protein,Wyldsson,"plant protein blend (pea, pumpkin, sunflower and coconut) 69%, reduced fat cocoa, fruit blend (date and banana) 9%, chicory root fibre, botanical essentials blend (flax, baobab, cinnamon and tumeric) 3%, sweetener: steviol glycosides from Stevia, agave fibre, natural vegan flavouring, vegan vitamin blend (b6, d, b12)","banana, cinnamon, cocoa, coconut, dates, flaxseed, pea-protein, stevia, sunflower-lecithin",1430.0,343.0,5.71,1.43,31.4,8.57,57.1,35g,Health & Supplements,1
1768,Five cheese rigatoni,Lean Cuisine,"COOKED PASTA (WATER, SEMOLINA WHEAT FLOUR, SOYBEAN OIL, WHEAT GLUTEN), WATER, TOMATO PASTE, PART-SKIM MOZZARELLA CHEESE AND MODIFIED CORNSTARCH (PART-SKIM MOZZARELLA CHEESE [CULTURED MILK, SALT, ENZYMES], MODIFIED CORNSTARCH, NONFAT MILK, FLAVORS), 2% OR LESS OF PARMESAN CHEESE (CULTURED MILK, SALT, ENZYMES), WHITE CHEDDAR CHEESE (CULTURED MILK, SALT, ENZYMES), SPICES, SUGAR, MODIFIED FOOD STARCH, SOYBEAN OIL, GARLIC, ROMANO CHEESE (CULTURED COW'S MILK, SALT, ENZYMES), SALT, ASIAGO CHEESE (CULTURED MILK, SALT, ENZYMES), ONION POWDER","cereals-containing-gluten, garlic, milk, onion, soybeans, tomato",532.0,127.21,3.53,1.41,19.1,2.47,4.9,283g,Food,0
2171,Organic Vegan Protein Shake Mix,Earth Chimp,"Organic Plant Protein Blend (Organic Pea, Organic Pumpkin, Organic Coconut & Organic Sunflower), Organic Fruit Blend (Organic Date, Organic Banan: & Organic Baobab), Organic Agave Fiber, Organic Pea Starch, Flax Seed Fiber, 120 Organic Cocoa (Alkalised), Natural Flavors % Daily Value* 3% Probiotics & Digestive Enzyme Blend (Bacillus Coagulans, Amylase, Protease, Cellulase, Lactase & Lipase), Organic Monkfruit Extract, Milled Flax Seeds Organic Cinnamon Ceylon, Organic Turmeric. 0% Trans Fat 0g Cholesterol Omg 0% Contains: Coconut. Made in a facility Sodium 240mg 10% that uses peanuts, tree nuts & sesame Total Carbohydrate 11g 4% - may contain traces. Dietary Fiber 5g 18% Made in Ireland by Wyldsson Ltd., Total Sugars 3g Snowdrop, Dublin 22, Ireland. Includes Og Added Sugars 0% Certified Organic by Irish Organic Protein 20g 27% Association (IOA). Calcium 16mg 2% Iron 6mg 30% Potassium 135mg 4% Magnesium 50mg 10% No salt added but this is not a sodium free food. Suggested daily serving size: 35g. We believe in a varied, balanced diet. Zinc 3mg 20% Not a significant source of Vitamin D The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2000 calories a day is used for general nutrition advice. X002C1C71V EarthChimp Organic Veg...ee, Gum Free (Vanilla) New SPREAD 10","cinnamon, cocoa, coconut, dates, flaxseed, pea-protein, peanuts, sesame-seeds, sunflower-lecithin, tree-nuts, turmeric, vanilla",502.0,120.0,2.0,0.0,11.0,0.0,20.0,100g,Health & Supplements,0
2397,Collagen Peptides,Great Lakes Wellness,Bovine Collagen Peptides,collagen,1460.0,350.0,,,,,90.0,20g,Health & Supplements,0
4466,Boisson Nutritionnelle,Herbalife Nutrition,"soy protein isolate, fructose, inulin, gluten-free oat fibre soy oil, mineral mixture (calcium citrate, magnesium oxide, ferrous fumarate, sodium selenite, zinc oxide, manganese carbonate, chromium chloride (ii), potassium iodide, copper citrate), potassium phosphate, emulsifier (soy lecithin), organic linen powder, thickening , vitamin mixture (l-ascorbic acid (vit, q, dl-alpha-tocopheryl acetate (vit, e) nicotinamide (niacin), vit retinal acetate, a),  d-biotin (biotin), calcium d-pantotherate (pantothenic acid) , choleocleciferral vit, d), pteroylmonoglutamic acid (folic acid), phylloquinone (vit, k), pyridoxine hydrochlotin (vit, 86), thiamine hydrochloline (vit, b1), cyanocobalamine (vit, b12), riboflavin (vit, b2), sodium chloride, dye (beta-carotene), sweetener (glycosides - steviol), fruit powder (papaya, pomegranate, blueberry), powdered parsley, anti-admermicry (silical dioxide),  tip: for allergens, see % ar-ingredients in fat 2% of agricultural ingredients come from organic farming,","ascorbic-acid-vitamin-c, blueberry, cereals-containing-gluten, lecithin, oats, papaya, pomegranate, soybeans",1665.0,398.0,9.7,1.6,33.0,23.0,35.0,100g,Health & Supplements,1
4753,Melon medley,Tesco,melon,,124.0,29.0,0.2,0.0,5.9,5.9,0.5,300g,Other,0
4825,Mushroom Coffee,RYZE,"organic mushroom blend (cordyceps, reishi, king trumpet, shiitake, turkey tail, lion's mane), organic instant arabica coffee, organic MCT oil, organic coconut milk","caffeine, coconut, milk, mushrooms",1050.0,250.0,16.7,16.7,16.7,,0.0,6g,Health & Supplements,1
6969,St Hubert omega 3 bio,St Hubert,"Deionized Water, Glycerin USP, Petrolatum USP, Distearyldimonium Chloride, Isopropyl Palmitate, Cetyl Alcohol, Dimethicone, Allantoin, T36-C5 Melaleuca Oil, Benzyl Alcohol, Fragrance",,2092.0,500.0,56.0,20.0,,,,10g,Beverages,1
7224,Garofalo Gluten Free Pasta,Garofalo,"Corn flour (50,4%), brown rice flour (22%), rice flour (21,4%), potato starch, quinoa flour (3%), stabiliser: mono and diglycerides of fatty acids. May contain SOY, Specifically formulated for coeliacs.","cereals-containing-gluten, corn-maize, potato, quinoa, rice, soybeans",1511.0,356.0,1.6,0.3,78.0,0.5,7.0,60g,Food,0
7573,Camembert d'Isigny Sainte Mère,Tesco finest,Milk,milk,,,22.0,,0.5,0.5,21.0,30g,Food,0
1459290349,mokate cappuccino vanilla,Mokate,"Whitening base (coconut oil, skimmed milk powder, whey powder (from milk), stabiliser: potassium phosphates maltodextrin, instant coffee (3,5 %), instant grain coffee (act of roasted barley and rye), flavourings, natural vanilla flang (0,1 %). Product may contain soybeans.","caffeine, cereals-containing-gluten, coconut, milk, soybeans, vanilla",1858.0,441.0,13.0,12.0,74.0,52.0,6.6,20g,Food,1
25294,Hot smoked sweet chiil salmon flakes,Marks & Spencer,"Hot Smoked Scottish Salmon, Salt, Honey, Demerara Sugar, Dried Red Peppers, Dried Red Chillies, Dried Parsley, Ground Paprika, Ground Cayenne Pepper","bell-pepper, chili, fish, paprika",833.0,199.0,9.3,1.3,6.3,3.4,22.6,1serving,Condiments & Others,0
49041,Original lite syrup,Pearl milling,"HIGH FRUCTOSE CORN SYRUP, WATER, CELLULOSE GUM, SALT, NATURAL AND ARTIFICIAL FLAVOR, CARAMEL COLOR, SORBIC ACID AND SODIUM BENZOATE (PRESERVATIVES), SODIUM HEXAMETAPHOSPHATE",corn-maize,418.0,100.0,,,,,,50g,Condiments & Others,0
82723,Nectarines,M&S Eat Well,Nectarine,,184.0,43.0,0.1,0.1,9.0,9.0,1.4,150g,Other,0
11110857354,Coconut Milk,Simple Truth Organic,"_organic coconut_, purified water, organic guar gum.",guar-gum,772.0,185.0,18.5,15.4,3.1,1.54,1.54,1portion,Beverages,1
11110861825,Clover Honey,Kroger,honey,,1197.0,286.0,0.0,,81.0,76.19,0.0,1tbsp,Condiments & Others,0
141130,Belgian curls,M&S,"_Wheatflour_ (_Gluten_), Sugar, Palm Oil, Dried _Egg_ White, Salt, _Soya_ Lecithin, Vanilla Flavouring","cereals-containing-gluten, lecithin, vanilla",2260.0,541.0,29.6,22.6,63.9,31.4,4.1,7.4g,Condiments & Others,0
16000106109,All-Purpose Flour,Gold Medal,"Bleached Wheat Flour, Niacin (Vitamin B3), Iron, Thiamine Mononitrate (Vitamin B1) Riboflavin, Enzymes, Folic Acid (Vitamin B9)",cereals-containing-gluten,1530.0,367.0,0.0,0.0,76.7,0.0,10.0,0.2cup,Health & Supplements,0
180177,Mini beef meatballs,By sainsbury's,"Beef (89%), Water, Gluten Free Breadcrumb (Rice Flour, Gram Flour, Maize Starch, Salt, Dextrose), Gluten Free Seasoning (Sea Salt, Gluten Free Crumb (Rice Flour, Water, Dextrose, Vegetable Fibre, Salt, Caramelised Sugar Syrup, Paprika Extract), Black Pepper, Preservative: Sodium Metabisulphite (Sulphites)), Coriander, Parsley. Allergy advice: For allergens, see ingredients in bold. TRAY Recycle FILM Don't Recycle Packed in the the UK for Sainsbury's Supermarkets Ltd, London EC1N 2HT, using a blend of fresh and frozen beef from the UK. Not for EU. Careline 0800 636262. www.sainsburys.co.uk Packaged in a protective atmosphere. See reverse for product safety information. 7713133 02.24","beef, bell-pepper, cereals-containing-gluten, coriander, corn-maize, paprika, rice, sulphur-dioxide-and-sulphites",494.0,118.0,4.7,2.3,11.0,1.7,7.3,350g,Food,0
21248100895,Everything Seasoning,Olde Thompson,"SESAME SEEDS, SALT, DEHYDRATED GARNG, DEHORATED ONION BLACK SESAME SEEDS, POPPY SEEDS, SESAME","onion, sesame-seeds",21.0,5.0,,,,,,0.8g,Condiments & Others,0
230865,White Sliced Sandwich Loaf,Sainsburys,"Water, Rice Flour, Tapioca Starch, Maize Starch, Rapeseed Oil, Yeast, Thickener: Cellulose; Psyllium Husk Powder, Potato Starch, Egg White Powder, Sugar,","cereals-containing-gluten, corn-maize, eggs, potato, rice, yeast",887.0,212.0,5.1,0.5,32.1,0.5,3.4,100g,Food,0
23710316605,Salted Cashew Nuts,Dunnes Stores,"Cashew Nuts (97%), Rapeseed Oil, Salt.",tree-nuts,2450.0,605.0,50.0,7.9,14.0,5.1,20.0,25g,Snacks,0
27870410593,slimsters squares,irish pride,"Wheat Flour (Wheat Flour, Calciur Carbonate, Iron, Niacin, Thiamin), Wholemeal Wheat Flour, Water, Gluten, Yeast, Maize (2.4%), Wheat Wheat Fibre, Salt, Emulsifiers (Mono-and Diacetyl Tartaric Acid Esters s of Mong - and Diglycerides of Fatty Acids, Sodium Stearoyl-2-Lactylate), Soya Flour, Preservative (Calcium Propionate), Flour Treatment Agent (Ascorbic Acid, L-Cysteine).","ascorbic-acid-vitamin-c, cereals-containing-gluten, corn-maize, soybeans, yeast",1001.0,239.0,1.5,0.5,36.6,3.8,16.8,1square,Food,0
28000202033,"Nestle, butterfinger",Nestlé,"corn syrup, sugar, ground roasted peanuts, hydrogenated palm kernel oil, cocoa, molasses, less than 1% of: dairy product solids, confectioner's corn flakes, nonfat milk, salt, soy lecithin, soybean oil, cornstarch, natural flavors, tbhq and citric acid (to preserve freshness), annatto color,","citric-acid, cocoa, corn-maize, lecithin, milk, peanuts, soybeans",1937.0,463.0,18.52,9.26,72.22,44.44,5.56,1bar,Condiments & Others,0
28801000098,Flahavans red berry granola,Flahavan's,"_Oats_ (60%), Sugar, Red Berries (8.1%) (Cranberries (cranberries, sugar, sunflower oil), Freeze Dried Strawberries, Freeze Dried Raspberries), _Almonds_ (8%) Rapeseed Oil, Coconut, Seeds(pumpkin, sunflower), Honey, Natural flavouring, Coconut Oil","cereals-containing-gluten, coconut, cranberry, raspberry, strawberry, sunflower-lecithin, tree-nuts",1938.0,,20.0,4.1,58.0,17.0,10.4,40g,Condiments & Others,0
29211803644,Chocolate Hazelnut Spread,Supervalu,"Sugar Vegetable Oil Palm Oil), Hazelnuts (13%), Fat Reduced Cocoa Powder (7,5%), Skimmed Milk Powder, Whey Powder octose (Milk Easter thins (Soy), Flavouring highlighted ingredients May contain Other Nuts Storage Instructions: Store in a cool dry place out of direct sunlight. Do not reinfridge Best before: see lid To Everyone Who","cocoa, milk, soybeans, tree-nuts",2271.0,529.0,29.0,9.0,60.0,55.0,5.4,15g,Food,0
340908,Salted Softer Butter,M&S Food,"Butter (Milk), Salt (1.8%), Minimum 80% Milk Fat.",milk,2999.0,729.0,80.5,52.1,0.6,0.6,0.6,10g,Food,0
37600807449,"Corned beef hash, Mary's Kitchen",Hormel,"beef, rehydrated potatoes, water, contains 2% or less of salt, sugar, flavoring, spices, sodium nitrite,",beef,674.0,161.0,10.2,4.24,9.75,0.42,7.2,2portion,Food,0
38000199875,Raisin bran breakfast cereal,Kellogg's,"whole grain wheat, raisins, wheat bran, sugar, brown sugar syrup, contains 2% or less of malt flavor, salt,","cereals-containing-gluten, raisins",1347.0,322.0,1.69,0.0,79.66,28.81,8.47,1cup,Food,0
38000321108,"Frosted s'mores toaster pastries, frosted s'mores",Kellogg's,"Enriched flour (wheat flour, niacin, reduced iron, vitamin b1 [thiamin mononitrate], vitamin b2 [riboflavin], folic acid), sugar, high fructose corn syrup, dextrose, soybean and palm oil (with tbhq for freshness), corn syrup, whole wheat flour, bleached wheat flour, whey, contains two percent or less of molasses, cocoa processed with alkali, cornstarch, leavening (baking soda, sodium aluminum phosphate), milk chocolate (sugar, milk, cocoa butter, chocolate), salt, modified corn starch, natural and artificial flavors, soy lecithin, gelatin, egg whites, color added, xanthan gum.","cereals-containing-gluten, chocolate, cocoa, corn-maize, eggs, gelatin, lecithin, milk, soybeans, xanthan-gum",1611.0,385.0,9.62,2.88,69.23,36.54,5.77,1pastry,Food,0
40000422082,3 Musketeers,Mars,"Milk chocolate (sugar, chocolate, cocoa butter, skim milk, lactose, milkfat, soy lecithin), sugar, corn syrup, hydrogenated palm kernel oil and/or palm oil, less than 2% - cocoa powder processed with alkali, salt, egg whites, artificial and natural flavors.","chocolate, cocoa, corn-maize, eggs, lecithin, milk, soybeans",1870.0,447.0,12.8,8.51,78.7,68.1,2.13,1original,Food,0
41196914153,New england clam chowder,progresso,"Clam broth, potatoes*, clams, soybean oil, water, modified food starch, onions. contains less than 2% of: sugar, soy protein concentrate, salt, potassium chloride, cream, sodium phosphate, butter, chablis wine, datem, natural flavor, brandy, parsley*, celery*, yeast extract.*dried","celery, milk, molluscs, soybeans, yeast",296.0,70.83,2.9,0.42,9.58,0.83,2.1,1cup,Food,1
41303006450,Blackeye peas,Essential Everyday,"Prepared blackeye peas, water, salt, disodium edta (to promote color retention).",,258.0,61.5,0.0,,10.8,1.54,3.85,1portion,Beverages,0
41303010037,Sweet corn,essential everyday,"Whole kernel corn, water.",corn-maize,201.0,48.0,0.4,0.0,7.2,1.6,0.8,2cup,Beverages,0
42272003709,Mexican Burrio,Amy's Kitchen,"N EDENTS ORGANIC PINTO BEANS (31 %), FILTERED WATER, ORGANIC COOKED BROWN RICE (11 %), ORGANIC CHICKPEA FLOUR, ORGANIC TOMATO PUREE, ORGANIC POTATO STARCH, ORGANIC TAPIOCA STARCH, ORGANIC ONIONS, SUNFLOWER OIL, CHEDDAR CHEESE (MLO (2%), MONTEREY JACK CHEESE (MI) (2%), ORGANIC SWEET PEPPERS, ORGANIC SORGHUM FLOUR, ORGANIC SWEET RICE FLOUR, ORGANIC SUGAR, SEA SALT, SPICES, ORGANIC GARLIC. FOR ALLERGENSSEE INGREDIENTSIN BOLD. 83%OFTHEARLI RALNGREENISAEPRODUmN ORDAME WITH THERULES OFORGANIC PRODUCTION UNDER ORGANIC CERTFICATIONv","cereals-containing-gluten, chickpeas, garlic, milk, potato, rice, sunflower-lecithin, tomato",686.0,164.0,5.1,1.3,24.0,1.9,5.8,156g,Health & Supplements,1
44052001790,Cinnamon And Raisin Bagel,Brennans,"Wheat Flour (Wheat, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Raisin (4.5%), Sugar, Malted _Barley_ Flour, Salt, Yeast, Cinnamon (0.36%), _Soya_ Flour, Vegetable Fat (Palm), Preservative: Calcium Propionate (E282), Flour Treatment Agent: Ascorbic Acid (Vitamin C)","ascorbic-acid-vitamin-c, cereals-containing-gluten, cinnamon, raisins, yeast",1170.0,277.0,1.22,0.24,55.2,10.6,9.38,90g,Food,0
46000283234,Thick & chunky salsa mild,Old El Paso,"Tomato (61%), onions (16%), green peppers (10%), tomato paste, salt, vinegar, onion flakes, sugar, onion powder, lemon juice concentrate, guajilo pepper(0.5%), garlic powder, spices, acidity regulator: citric acid.","bell-pepper, citric-acid, garlic, lemon, onion, tomato",163.0,39.0,0.5,0.0,6.2,5.2,1.3,15g,Food,0
48564067008,Tostadas caseras amarillas,guerrero,"Corn masa flour (niacin, reduced iron, thiamine mononitrate, riboflavin), water, vegetable oil (contains one or more of the following: corn oil, cottonseed oil, palm oil, sunflower oil), salt.","cereals-containing-gluten, corn-maize, sunflower-lecithin",1962.0,469.0,18.75,7.81,68.75,3.12,6.25,2tostadas,Condiments & Others,0
49755066893,Cold milled flaxseed,Linwoods,Flax seed,flaxseed,2096.0,508.0,40.0,4.5,3.0,1.8,22.0,20g,Other,0
555021,Veggie Wrap,Mac's Place,"White Wrap 37%, (WHEAT),Egg Mayo 37%, (EGG MUSTARD), Lettuce 10%, Cheddar 8% (MILK) Tomato Relish 6% (MUSTARD)","cereals-containing-gluten, eggs, lettuce, milk, mustard, tomato",1002.0,241.0,12.9,3.0,22.4,3.9,8.9,340g,Food,0
57664006268,Chile & Lime,Super Stack,"dried potatoes, vegetable oil, corn flour, rice flour, seasoning, monosodium glutamate, maltodextrin, onion powder, lime powder, yeast extract, natural flavors, yellow 6 lake, canola oil, silicon dioxide, potato starch, corn starch, salt, mono-and diglycerides","cereals-containing-gluten, corn-maize, lime, msg-monosodium-glutamate, onion, potato, rice, yeast",2240.0,536.0,32.1,16.1,53.6,0.0,3.57,28g,Food,0
58807500919,Pop Up Bowl Extra Buttery Flavor Popcorn,Orville Redenbacher's,"100% whole grain popping corn, Palm oil, Salt, Natural butter flavour, Mixed tocopherols, Annatto. Contains: Milk.","corn-maize, milk",1990.0,476.0,28.0,14.6,52.4,0.0,7.32,1bag,Food,0
60383025397,Gourmet Jelly Beans,President's Choice,"Sugars [sugar, glucose (wheat), concentrated pineapple juice, concentrated orange juice, concentrated apple juice, caramelized sugar], Modified corn starch, Natural flavour, Carrot extract, pumpkin extract, apple extract, radish extract, blackcurrant extract, hibiscus extract, Spirulina extract, Citric acid, Fumaric acid, Malic acid, Confectioners shellac, Carnauba wax, Beeswax, Sodium citrate, Coconut oil.","apple, carrot, cereals-containing-gluten, citric-acid, coconut, corn-maize, orange, pineapple",1570.0,375.0,0.0,0.0,95.0,75.0,0.0,40g,Food,0
61232202556,Dark Chocolate Chip Oat Biscuits,Nairn's,"Wholegrain Oats (59%), Dark Chocolate Chips (9%) (Sugar, Cocoa Mass, Cocoa Butter, Emulsifier: Soya Lecithin, Natural Vanilla Flavouring), Sustainable Palm Fruit Oil, Brown Sugar, Dark Chocolate Powder (5%) (Sugar, Cocoa Mass, Fat Reduced Cocoa Powder), Partially Inverted Refiners Syrup, Dietary Fibre (Oligofructose), Barley Malt Syrup, Raising Agent: Sodium Bicarbonate, Sea Salt, Natural Cocoa Flavouring.","cereals-containing-gluten, chocolate, cocoa, lecithin, milk, oats, soybeans, vanilla",1902.0,454.0,16.9,7.7,63.8,19.0,8.1,10g,Condiments & Others,1
622222,Filet-o-fish,Mcdonald's,applies to Medium Fries only. For Nutrition Information of other products please visit: www.mcdonaldsmenu.info Find out more EMPTY Widely Recycled,,1590.0,380.0,19.0,4.0,38.0,4.0,16.0,100g,Food,0
70177225476,"Cold Infuse Tea. Watermelon, Strawberry & Mint.",Twinings,"HIBISCUS BEETROOT*, ROSEHIPS, NATURAL STRAWBERRY FLAVOURING WITH OTHER NATURAL FLAVOURINGS (11%), NATURAL WATERMELON FLAVOURING WITH OTHER NATURAL FLAVOURINGS (8%), ORANGE PEEL*, NATURAL MINT FLAVOURING WITH OTHER NATURAL FLAVOURINGS (1.5%), NATURAL FLAVOURING. *THESE HERBAL INGREDIENTS ARE SPECIALLY HEAT TREATED TO MAKE THEM OUR FIRST EVER INFUSER SAFE TO DROP INTO COLD WATER. ALL NATURAL INGREDIENTS","mint, orange, strawberry",7.0,2.0,0.0,0.0,0.0,0.0,0.0,1g,Health & Supplements,1
70450113278,Californian Prune Juice,Sunsweet,Californian Prune Juice. 100% water extracted Californian prune juice made from concentrate Sunsweet Prune Juice does not contain any additives,,267.0,63.0,0.0,0.0,16.0,10.0,0.7,100ml,Beverages,0
706797,Mixed berries,M&S Food,Raspberries. Blueberries,"blueberry, raspberry",163.0,39.0,0.2,0.1,7.2,7.2,1.1,80g,Other,0
724159,Super seeded bread,M&S,"Wheatflour (contains Gluten), Water, Mixed Seeds (19%) (Sunflower Seeds, Millet, Golden Linseed, Brown Linseed, Poppy Seeds, Pumpkin Seeds), Dried Wheat Gluten, Yeast (Yeast Vitamin D Yeast) Dried Fermented Wheatflour (contains Gluten), Salt , Brown Sugar, Malted Barley Flour (contains Gluten), Palm Oil, Fractionated Palm Oil, Soya Flour, Rapeseed Oil, Caramelised Sugar Syrup, Flour Treatment Agent: Ascorbic Acid","ascorbic-acid-vitamin-c, cereals-containing-gluten, flaxseed, millet, soybeans, sunflower-lecithin, yeast",1243.0,297.0,9.5,1.4,38.6,4.0,12.0,1slice,Food,0
72417147456,Viscount mint bar,Burton's Biscout Co.,"Milk chocolate (32%) (Sugar, Cocoa mass, Cocoa butter, Dried skimmed milk, Vegetable fats (Sustainable palm, Sal, Shea), Dried whey (Milk), Milk fat, Emulsifier (Soya lecithin)), Wheat flour (with Calcium carbonate, Iron, Niacin and Thiamin), Mint flavoured filling (19%) (Vegetable oils (Sustainable palm kernel, Sustainable palm), Sugar, Wheat starch, Peppermint oil), Sugar, Sustainable palm oil, Fat-reduced cocoa powder, Partially inverted sugar syrup, Salt, Raising agents (Sodium bicarbonate, Ammonium bicarbonate).","cereals-containing-gluten, chocolate, cocoa, lecithin, milk, mint, soybeans",2188.0,523.0,28.1,16.0,61.2,32.4,5.4,25.3g,Food,1
